,trace,Cache_policy,repl,ipc,hit,miss,size
130,cadical-high-60K-134B.champsimtrace.xz,N,rand,0.227915,1211925,671644,4
131,kissat-inc-high-30K-1802B.champsimtrace.xz,E,lru,0.344941,269248,545989,4
132,cadical-high-60K-1227B.champsimtrace.xz,E,lru,0.227219,679107,1192081,4
133,cadical-high-60K-1227B.champsimtrace.xz,E,lfu,0.216175,617007,1192087,4
134,cadical-high-60K-134B.champsimtrace.xz,E,lfu,0.224972,540537,1227871,4
135,cadical-high-60K-1227B.champsimtrace.xz,E,rand,0.22207,659443,1192084,4
136,kissat-inc-high-30K-1802B.champsimtrace.xz,E,lfu,0.344807,268808,545989,4
137,cadical-high-60K-1227B.champsimtrace.xz,I,fifo,0.226914,1333531,512982,4
138,cadical-high-60K-134B.champsimtrace.xz,E,lru,0.228817,556260,1227867,4
139,cadical-high-60K-1227B.champsimtrace.xz,N,lru,0.227217,1331423,513010,4
140,cadical-high-60K-134B.champsimtrace.xz,N,lru,0.228818,1211994,671632,4
141,cadical-high-60K-1227B.champsimtrace.xz,E,fifo,0.223768,662089,1192081,4
142,cadical-high-60K-134B.champsimtrace.xz,I,rand,0.227822,1214122,671636,4
143,kissat-inc-high-30K-1802B.champsimtrace.xz,N,lfu,0.344941,579359,276742,4
